# Sistema de Monitoreo de Calidad del Aire - Quito, Ecuador
# Archivo de datos de ejemplo para pruebas - 30 dias por zona (150 registros total)
# Formato: YYYY-MM-DD,HH:MM,Zona,PM2.5,PM10,NO2,O3,SO2,CO
# Unidades: PM2.5 y PM10 en ug/m3 | NO2 en ug/m3 | O3 en ug/m3 | SO2 en ug/m3 | CO en mg/m3
#
# Los datos abarcan 30 dias consecutivos (2026-05-01 a 2026-05-30) para cada una de las 5 zonas.
# Esto permite calcular promedios historicos reales de 30 dias y predicciones significativas.
# La profesora puede ingresar el dia 30 como medicion actual a traves del menu del sistema.
# -------------------------------------------------------------------------------

# -- Zona: Centro Historico (29 dias de datos) --
2026-05-01,08:00,Centro Historico,8.42,18.15,11.33,41.23,8.71,1.27
2026-05-02,08:00,Centro Historico,9.18,18.52,11.77,39.3,7.16,1.2
2026-05-03,08:00,Centro Historico,6.58,19.19,12.45,44.45,7.16,1.24
2026-05-04,08:00,Centro Historico,8.93,18.04,12.92,45.98,7.52,1.06
2026-05-05,08:00,Centro Historico,9.37,20.02,10.78,39.97,9.04,1.24
2026-05-06,08:00,Centro Historico,8.92,22.38,12.11,48.73,7.64,1.22
2026-05-07,08:00,Centro Historico,8.99,21.71,13.09,44.77,8.61,1.02
2026-05-08,08:00,Centro Historico,7.18,19.74,10.74,41.33,6.8,1.11
2026-05-09,08:00,Centro Historico,8.41,20.19,11.61,41.1,7.3,1.37
2026-05-10,08:00,Centro Historico,8.44,21.65,11.01,46.29,6.99,1.15
2026-05-11,08:00,Centro Historico,9.47,21.84,12.17,45.85,9.03,1.31
2026-05-12,08:00,Centro Historico,7.19,18.19,11.45,41.68,7.13,1.38
2026-05-13,08:00,Centro Historico,9.13,19.89,12.47,42.96,9.24,1.18
2026-05-14,08:00,Centro Historico,7.29,19.48,12.18,41.63,8.25,1.36
2026-05-15,08:00,Centro Historico,7.7,19.32,13.49,44.1,6.77,1.02
2026-05-16,08:00,Centro Historico,6.83,21.76,12.88,43.22,6.69,1.15
2026-05-17,08:00,Centro Historico,9.49,21.17,13.41,47.61,6.53,1.29
2026-05-18,08:00,Centro Historico,8.55,21.22,11.3,45.41,6.83,1.17
2026-05-19,08:00,Centro Historico,7.86,23.72,13.13,41.63,8.0,1.07
2026-05-20,08:00,Centro Historico,9.24,23.22,11.4,45.39,8.33,1.06
2026-05-21,08:00,Centro Historico,8.79,21.24,12.84,44.3,6.5,1.13
2026-05-22,08:00,Centro Historico,6.56,23.57,13.14,47.32,7.42,1.02
2026-05-23,08:00,Centro Historico,9.13,23.68,10.76,43.86,6.71,1.3
2026-05-24,08:00,Centro Historico,8.8,18.77,11.93,44.5,7.3,1.35
2026-05-25,08:00,Centro Historico,7.77,19.27,12.12,46.3,7.1,1.12
2026-05-26,08:00,Centro Historico,9.49,21.9,11.81,44.18,6.86,1.09
2026-05-27,08:00,Centro Historico,7.51,21.53,11.19,41.2,6.71,1.25
2026-05-28,08:00,Centro Historico,7.19,23.43,13.08,39.71,7.21,1.27
2026-05-29,08:00,Centro Historico,7.14,18.79,13.31,44.71,7.92,1.31

# -- Zona: La Floresta (29 dias de datos) --
2026-05-01,07:30,La Floresta,6.26,16.37,10.17,35.79,6.01,0.8
2026-05-02,07:30,La Floresta,6.52,14.24,8.58,38.59,6.04,0.78
2026-05-03,07:30,La Floresta,5.3,17.62,9.09,41.89,6.3,0.72
2026-05-04,07:30,La Floresta,6.8,17.18,10.14,42.41,6.9,0.75
2026-05-05,07:30,La Floresta,5.77,14.07,9.0,35.47,5.96,1.0
2026-05-06,07:30,La Floresta,5.33,16.92,9.11,38.38,7.11,1.0
2026-05-07,07:30,La Floresta,5.91,16.59,8.51,37.37,7.14,0.87
2026-05-08,07:30,La Floresta,5.88,16.74,8.31,39.67,6.21,0.96
2026-05-09,07:30,La Floresta,5.11,17.8,8.36,36.49,6.39,0.9
2026-05-10,07:30,La Floresta,5.27,13.6,9.98,36.97,6.39,0.89
2026-05-11,07:30,La Floresta,5.64,15.92,9.25,42.48,5.61,0.91
2026-05-12,07:30,La Floresta,5.28,14.98,9.54,37.4,5.83,0.93
2026-05-13,07:30,La Floresta,4.95,15.29,10.2,42.97,5.35,0.76
2026-05-14,07:30,La Floresta,5.33,17.67,9.96,42.03,5.94,0.75
2026-05-15,07:30,La Floresta,6.47,16.52,9.42,42.9,6.51,0.7
2026-05-16,07:30,La Floresta,6.43,14.5,9.53,42.51,5.47,0.73
2026-05-17,07:30,La Floresta,5.01,15.77,8.74,39.84,6.64,0.76
